path,stage,nodes,expr_bytes,expr_max,expr_count,expected_bytes,expected_max,expected_count,expected_skipped,expected_skipped_max,doc_bytes,doc_max,doc_count
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,58,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,58,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,58,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,heartbeat,6996,60936807,12085412,2898,5866090,241332,2597,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,progress,7041,60938262,12085412,2916,5866274,241332,2608,59,3328575244,0,0,0
Mathlib/CategoryTheory/Elements.lean,done,7403,61547688,12085412,3071,6102288,241332,2744,59,3328575244,0,0,0
